state,tweets
AB,20
AK,31
AL,71
AR,63
AU,1
AZ,202
BC,135
BE,2
CA,1987
CH,1
CO,213
CT,131
DC,764
DE,17
EU,2
FL,755
GA,510
GB,2
GR,1
GU,2
HI,48
IA,51
ID,15
IE,1
IL,483
IN,137
IT,2
KS,58
KY,88
LA,117
MA,497
MB,2
MD,250
ME,29
MI,231
MN,191
MO,169
MS,38
MT,12
MX,2
NB,4
NC,318
ND,14
NE,48
NG,2
NH,53
NJ,282
NL,3
NM,64
NS,2
NV,174
NY,1223
NZ,17
OH,273
OK,87
ON,81
OR,192
PA,415
PH,2
PK,2
PQ,1
PR,2
QC,6
RI,29
SA,4
SC,141
SD,12
SK,6
SP,1
TN,235
TX,930
UK,589
UP,1
US,18
UT,50
VA,224
VI,2
VT,15
WA,319
WB,1
WI,140
WV,36
WY,10
ℂ𝔸,1
台灣,2
香港,1
