,date,state,cases,deaths
0,8/13/2020,AL,105557,1890
1,8/13/2020,AK,4748,25
2,8/13/2020,AZ,190823,4385
3,8/13/2020,AR,51766,582
4,8/13/2020,CA,600291,10868
5,8/13/2020,CO,51894,1881
6,8/13/2020,CT,50782,4450
7,8/13/2020,DE,15967,593
8,8/13/2020,DC,13024,594
9,8/13/2020,FL,557129,8912
10,8/13/2020,GA,212009,4440
11,8/13/2020,GU,1446,6
12,8/13/2020,HI,4289,39
13,8/13/2020,ID,26296,251
14,8/13/2020,IL,202530,7928
15,8/13/2020,IN,79404,3105
16,8/13/2020,IA,50336,959
17,8/13/2020,KS,33037,403
18,8/13/2020,KY,39239,814
19,8/13/2020,LA,135562,4402
20,8/13/2020,ME,4089,126
21,8/13/2020,MD,98728,3620
22,8/13/2020,MA,122000,8769
23,8/13/2020,MI,99963,6556
24,8/13/2020,MN,63039,1731
25,8/13/2020,MS,69986,2011
26,8/13/2020,MO,64312,1411
27,8/13/2020,MT,5430,81
28,8/13/2020,NE,29312,361
29,8/13/2020,NV,58657,1030
30,8/13/2020,NH,6921,422
31,8/13/2020,NJ,188433,15893
32,8/13/2020,NM,22816,695
33,8/13/2020,NY,428155,32399
34,8/13/2020,NC,140985,2313
35,8/13/2020,ND,8175,124
36,8/13/2020,MP,49,2
37,8/13/2020,OH,105426,3755
38,8/13/2020,OK,46101,638
39,8/13/2020,OR,22186,384
40,8/13/2020,PA,126950,7474
41,8/13/2020,PR,24446,306
42,8/13/2020,RI,20240,1019
43,8/13/2020,SC,103909,2186
44,8/13/2020,SD,9897,148
45,8/13/2020,TN,125487,1300
46,8/13/2020,TX,534333,9835
47,8/13/2020,UT,45536,358
48,8/13/2020,VT,1484,58
49,8/13/2020,VA,103622,2363
50,8/13/2020,VI,682,9
51,8/13/2020,WA,67471,1790
52,8/13/2020,WV,8151,153
53,8/13/2020,WI,67726,1028
54,8/13/2020,WY,3119,29
