date,cases,deaths
7/24/2020,4123413,145429
7/25/2020,4190189,146312
7/26/2020,4244406,146752
7/27/2020,4303587,148448
7/28/2020,4366697,149775
7/29/2020,4433312,151170
7/30/2020,4502423,152431
7/31/2020,4570159,153858
8/1/2020,4628303,154915
8/2/2020,4677628,155333
8/3/2020,4725045,155941
8/4/2020,4778438,157296
8/5/2020,4832159,158548
8/6/2020,4889670,159623
8/7/2020,4950653,160977
8/8/2020,5005850,161942
8/9/2020,5054208,162481
8/10/2020,5101333,163018
8/11/2020,5154648,164468
8/12/2020,5208835,165946
8/13/2020,5262048,167133
