location,date,new_cases,new_deaths,new_cases_per_million,new_deaths_per_million
World,7/25/2020,283888,6365,36.42,0.817
World,7/26/2020,259487,5778,33.29,0.741
World,7/27/2020,231818,3967,29.74,0.509
World,7/28/2020,212236,4657,27.228,0.597
World,7/29/2020,243623,6256,31.255,0.803
World,7/30/2020,298086,6717,38.242,0.862
World,7/31/2020,290446,6430,37.262,0.825
World,8/1/2020,278894,6209,35.779,0.797
World,8/2/2020,262136,5778,33.63,0.741
World,8/3/2020,222905,3971,28.597,0.509
World,8/4/2020,204774,4498,26.271,0.577
World,8/5/2020,253691,6802,32.546,0.873
World,8/6/2020,275094,7173,35.292,0.92
World,8/7/2020,284725,6913,36.528,0.887
World,8/8/2020,274886,6551,35.265,0.84
World,8/9/2020,267085,5673,34.265,0.728
World,8/10/2020,229260,4488,29.412,0.576
World,8/11/2020,220196,4985,28.249,0.64
World,8/12/2020,259430,6111,33.282,0.784
World,8/13/2020,287492,7048,36.883,0.904
World,8/14/2020,278607,9879,35.743,1.267
